"species" "plot" "treatement" "atribute" "rust" "p_mildew" "d_mildew" "l_spot" "n_dmg_fung" "mean_perc_dmg_fung" "perc_leaves_dmg_fung" "perc_dmg_fung" "chewing" "sucking" "mining" "n_dmg" "mean_perc_dmg" "n_leaves" "perc_leaves_dmg" "perc_dmg" "comments"
"248" "Hl" 42 0 "species_2" 0 0 0 2 2 5 20 1 0 0 0 0 0 10 0 0 ""
"249" "Pt" 42 0 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"250" "Be" 42 1 "species_1" 0 0 0 0 0 0 0 0 0 3 0 3 5 10 30 1.5 ""
"251" "Hl" 42 1 "species_2" 0 0 0 1 1 10 10 1 1 0 0 1 1 10 10 0.1 ""
"252" "Pt" 42 1 "species_3" 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 NA NA "no poa"
"253" "Lp" 43 0 "species_1" 0 0 0 8 8 45 80 36 0 1 0 1 10 10 10 1 ""
"254" "Cb" 43 0 "species_2" 0 1 0 2 2 5 20 1 2 0 0 2 1 10 20 0.2 ""
"255" "Dc" 43 0 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"256" "Lp" 43 1 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"257" "Cb" 43 1 "species_2" 0 3 0 1 4 10 40 4 0 2 0 2 1 10 20 0.2 ""
"258" "Dc" 43 1 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"259" "Lp" 44 0 "species_1" 0 0 0 10 10 10 100 10 0 0 0 0 0 10 0 0 ""
"260" "Cb" 44 0 "species_2" 0 0 0 1 1 5 10 0.5 1 2 0 2 5 10 20 1 ""
"261" "Ra" 44 0 "species_3" 0 0 0 2 2 5 20 1 0 0 0 0 0 10 0 0 ""
"262" "Lp" 44 1 "species_1" 0 0 0 3 3 5 30 1.5 0 0 0 0 0 10 0 0 ""
"263" "Cb" 44 1 "species_2" 1 5 0 1 7 20 70 14 0 2 0 2 5 10 20 1 ""
"264" "Ra" 44 1 "species_3" 0 0 0 3 3 5 30 1.5 0 0 0 0 0 10 0 0 ""
"265" "Fr" 45 0 "species_1" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"266" "Hl" 45 0 "species_2" 0 0 0 7 7 10 70 7 0 0 0 0 0 10 0 0 ""
"267" "Sp" 45 0 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"268" "Fr" 45 1 "species_1" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"269" "Hl" 45 1 "species_2" 0 0 0 6 6 10 60 6 0 0 0 0 0 10 0 0 ""
"270" "Sp" 45 1 "species_3" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"271" "Be" 46 0 "species_1" 0 0 0 10 10 5 100 5 0 4 0 4 5 10 40 2 ""
"272" "Lp" 46 0 "species_2" 1 0 0 10 10 10 100 10 0 0 0 0 0 10 0 0 ""
"273" "Dc" 46 0 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"274" "Be" 46 1 "species_1" 0 0 0 10 10 1 100 1 0 0 0 0 0 10 0 0 ""
"275" "Lp" 46 1 "species_2" 0 0 0 10 10 5 100 5 0 1 0 1 10 10 10 1 ""
"276" "Dc" 46 1 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"277" "Fr" 47 0 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"278" "Lp" 47 0 "species_2" 0 0 0 9 9 5 90 4.5 0 0 0 0 0 10 0 0 ""
"279" "Pt" 47 0 "species_3" 0 0 0 7 7 1 70 0.7 0 0 0 0 0 10 0 0 ""
"280" "Fr" 47 1 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"281" "Lp" 47 1 "species_2" 0 0 0 10 10 5 100 5 0 0 0 0 0 10 0 0 ""
"282" "Pt" 47 1 "species_3" 0 0 0 4 4 1 40 0.4 0 0 0 0 0 10 0 0 ""
"283" "Pg" 48 0 "species_1" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"284" "Ra" 48 0 "species_2" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"285" "Pm" 48 0 "species_3" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"286" "Pg" 48 1 "species_1" 0 0 0 1 1 1 10 0.1 1 0 0 1 5 10 10 0.5 ""
"287" "Ra" 48 1 "species_2" 0 0 0 3 3 1 30 0.3 1 0 0 1 5 10 10 0.5 ""
"288" "Pm" 48 1 "species_3" 0 0 0 0 0 0 0 0 1 0 0 1 5 10 10 0.5 ""
"289" "Pg" 49 0 "species_1" 0 0 0 5 5 5 50 2.5 0 0 0 0 0 10 0 0 ""
"290" "" 49 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"291" "" 49 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"292" "Pg" 49 1 "species_1" 0 0 0 2 2 5 20 1 0 3 0 3 5 10 30 1.5 ""
"293" "" 49 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"294" "" 49 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"295" "Sp" 50 0 "species_1" 0 0 0 7 7 5 70 3.5 2 0 0 2 5 10 20 1 ""
"296" "" 50 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"297" "" 50 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"298" "Sp" 50 1 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"299" "" 50 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"300" "" 50 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"301" "Cb" 51 0 "species_1" 0 1 0 6 6 10 60 6 0 0 0 0 0 10 0 0 ""
"302" "" 51 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"303" "" 51 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"304" "Cb" 51 1 "species_1" 0 8 0 1 8 40 80 32 0 0 0 0 0 10 0 0 ""
"305" "" 51 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"306" "" 51 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"307" "Dc" 52 0 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"308" "" 52 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"309" "" 52 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"310" "Dc" 52 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"311" "" 52 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"312" "" 52 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"313" "Fr" 53 0 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"314" "" 53 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"315" "" 53 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"316" "Fr" 53 1 "species_1" 0 0 0 3 3 5 30 1.5 0 1 0 1 1 10 10 0.1 ""
"317" "" 53 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"318" "" 53 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"319" "Hl" 54 0 "species_1" 0 0 0 2 2 1 20 0.2 0 1 0 1 1 10 10 0.1 ""
"320" "" 54 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"321" "" 54 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"322" "Hl" 54 1 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"323" "" 54 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"324" "" 54 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"325" "Lp" 55 0 "species_1" 0 0 0 10 10 10 100 10 0 0 0 0 0 10 0 0 ""
"326" "" 55 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"327" "" 55 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"328" "Lp" 55 1 "species_1" 0 0 0 5 5 1 50 0.5 0 1 0 1 5 10 10 0.5 ""
"329" "" 55 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"330" "" 55 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"331" "Pm" 56 0 "species_1" 0 0 0 5 5 5 50 2.5 0 0 0 0 0 10 0 0 ""
"332" "" 56 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"333" "" 56 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"334" "Pm" 56 1 "species_1" 0 0 0 2 2 1 20 0.2 0 2 0 2 1 10 20 0.2 ""
"335" "" 56 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"336" "" 56 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"337" "Pt" 57 0 "species_1" 0 0 0 6 6 5 60 3 0 0 0 0 0 10 0 0 ""
"338" "" 57 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"339" "" 57 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"340" "Pt" 57 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"341" "" 57 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"342" "" 57 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"343" "Be" 58 0 "species_1" 0 0 0 6 6 1 60 0.6 0 0 0 0 0 10 0 0 ""
"344" "" 58 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"345" "" 58 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"346" "Be" 58 1 "species_1" NA NA NA 1 1 1 10 0.1 0 1 0 1 5 10 10 0.5 ""
"347" "" 58 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"348" "" 58 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"349" "Ra" 59 0 "species_1" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"350" "" 59 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"351" "" 59 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"352" "Ra" 59 1 "species_1" 0 0 0 2 2 1 20 0.2 2 0 0 2 1 10 20 0.2 ""
"353" "" 59 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"354" "" 59 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"355" "To" 60 0 "species_1" 0 2 0 6 7 5 70 3.5 0 2 0 2 5 10 20 1 ""
"356" "" 60 0 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"357" "" 60 0 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"358" "To" 60 1 "species_1" 0 3 0 3 5 5 50 2.5 2 0 0 2 5 10 20 1 ""
"359" "" 60 1 "species_2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
"360" "" 60 1 "species_3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA ""
